ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
1,Greeting,Hello,"hi, hello, hey",None,"Hey there! How's your day going?","What have you been up to today?",friendly,1.0,No
2,Greeting,Hello,"good morning, morning",None,"Good morning! How did you sleep?","Ready for the day?",friendly,1.0,No
3,Greeting,Hello,"good evening, evening",None,"Good evening! How was your day?","Did anything exciting happen?",friendly,1.0,No
4,Mood,Happy,"happy, good, great, awesome",None,"I'm glad to hear that! What made you feel good today?","Do you often feel this way?",cheerful,0.9,Yes
5,Mood,Sad,"sad, down, unhappy, upset",None,"I'm sorry you're feeling that way. Do you want to talk about it?","What's been bothering you lately?",empathetic,0.95,Yes
6,Mood,Excited,"excited, pumped, thrilled",None,"That's exciting! What's got you so thrilled?","Want to tell me more?",enthusiastic,0.9,Yes
7,Mood,Relaxed,"relaxed, calm, chill",None,"It's great to relax sometimes. What helps you unwind?","Do you have any hobbies?",calm,0.8,Yes
8,Small Talk,Weather,"weather, rainy, sunny, hot, cold",None,"It's quite the weather today! Are you enjoying it?","Do you like this kind of weather?",friendly,0.8,No
9,Small Talk,Food,"hungry, eating, food, dinner, lunch",None,"I love talking about food! What's your favorite meal?","Do you cook often?",cheerful,0.8,No
10,Small Talk,Travel,"travel, vacation, trip, holiday",None,"Traveling is fun! Where is your dream destination?","Have you been anywhere recently?",friendly,0.8,No
11,Small Talk,Hobbies,"hobby, read, painting, music",None,"That sounds fun! How long have you been doing that?","Do you enjoy it often?",cheerful,0.8,Yes
12,Opinion,Movies,"movie, film, cinema, watch",None,"I enjoy movies a lot! What's the last film you watched?","Do you prefer action or comedy?",enthusiastic,0.85,Yes
13,Opinion,Books,"book, reading, novel, author",None,"Books are amazing! What have you read recently?","Do you like fiction or non-fiction?",enthusiastic,0.85,Yes
14,Opinion,Music,"music, song, listen, band",None,"Music can really lift the mood. What are you listening to?","Do you play any instruments?",cheerful,0.85,Yes
15,Joke,Funny,"joke, funny, laugh, humor",None,"Want to hear a joke? Why did the scarecrow win an award?","Did that make you laugh?",playful,0.7,No
16,Joke,Funny,"funny, pun, laugh",None,"Here's a pun for you: I'm reading a book on anti-gravity, it's impossible to put down!","Did that make you chuckle?",playful,0.7,No
17,Farewell,Goodbye,"bye, goodbye, see you, later",None,"See you later! It was nice chatting.","Hope to talk again soon!",friendly,1.0,No
18,Farewell,Goodbye,"good night, night",None,"Good night! Sleep well.","Do you usually dream a lot?",friendly,1.0,No
19,Small Talk,Animals,"cat, dog, pet, animal",None,"Animals are great companions! Do you have any pets?","What kind of pets do you like?",cheerful,0.8,Yes
20,Small Talk,Sports,"sport, game, football, basketball",None,"Sports are exciting! Do you play any?","Which team do you support?",enthusiastic,0.8,Yes
21,Small Talk,Tech,"tech, gadget, phone, computer",None,"Technology is evolving fast! What's your favorite gadget?","Do you enjoy using it?",friendly,0.8,Yes
22,Mood,Angry,"angry, mad, frustrated",None,"It's okay to feel frustrated. Do you want to vent a little?","What's bothering you?",empathetic,0.95,Yes
