ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
1,Feelings,Feelings,"""nervous, curious, amused, anxious""",None,"""Do you enjoy amused, nervous? I find it quite interesting.""","""Do you often feel this way?""",playful,0.79,No
2,Feelings,Feelings,"""relaxed, joyful, nervous, grateful""",None,"""What do you think about relaxed, nervous, grateful? It's been on my mind.""","""Does it happen often?""",thoughtful,0.92,Yes
3,ChitChat,ChitChat,"""beach, pet, fitness, food""",None,"""I've been thinking a lot about beach, food. What are your thoughts?""","""Is there a reason it makes you happy?""",enthusiastic,0.79,Yes
4,Humor,Humor,"""silly, laugh, funny, giggle""",None,"""silly can be so engaging! Do you like it as well?""","""Would you like to continue discussing this?""",cheerful,0.5,No
5,Thoughts,Thoughts,"""environment, space, tech, gaming""",None,"""tech, space? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",empathetic,0.93,Yes
6,Feelings,Feelings,"""stressed, happy, angry, sad""",None,"""angry, stressed always fascinates me. How do you feel about it?""","""Have you tried something similar before?""",motivated,0.95,Yes
7,Intro,Intro,"""hey, what’s up, greetings, hiya""",None,"""hey, hiya, what’s up is something I like to explore. How about you?""","""Is there a reason it makes you happy?""",witty,0.51,Yes
8,Goodbyes,Goodbyes,"""take care, cheerio, bye, catch you""",None,"""cheerio, take care, bye is something I like to explore. How about you?""","""Does it remind you of anything?""",curious,0.51,No
9,Thoughts,Thoughts,"""music, literature, space, history""",None,"""Do you enjoy space, history, music? I find it quite interesting.""","""Can you describe it more vividly?""",motivated,0.78,Yes
10,Intro,Intro,"""salutations, ahoy, bonjour, hello""",None,"""salutations, bonjour can be so engaging! Do you like it as well?""","""Would you like to continue discussing this?""",enthusiastic,0.7,Yes
11,Thoughts,Thoughts,"""space, cooking, fashion, environment""",None,"""I feel environment is really intriguing. What’s your opinion?""","""Have you tried something similar before?""",inquisitive,0.95,Yes
12,Goodbyes,Goodbyes,"""goodbye, take care, peace, cheerio""",None,"""What do you think about cheerio, peace? It's been on my mind.""","""Does it remind you of anything?""",cheerful,0.94,Yes
13,Goodbyes,Goodbyes,"""see you, later, catch you, peace""",None,"""later can be so engaging! Do you like it as well?""","""Can you describe it more vividly?""",friendly,0.56,Yes
14,Goodbyes,Goodbyes,"""bye, adieu, catch you, goodbye""",None,"""What do you think about goodbye, bye, catch you? It's been on my mind.""","""What’s the story behind it?""",optimistic,0.79,Yes
15,Feelings,Feelings,"""bored, surprised, excited, confident""",None,"""I've been thinking a lot about surprised, excited. What are your thoughts?""","""What’s the story behind it?""",relaxed,0.55,Yes
16,Intro,Intro,"""salutations, yo, hey, what’s up""",None,"""What do you think about salutations, what’s up, yo? It's been on my mind.""","""What’s the story behind it?""",enthusiastic,0.81,No
17,Humor,Humor,"""haha, laugh, lol, quirky""",None,"""lol, haha? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",witty,0.71,Yes
18,Thoughts,Thoughts,"""science, music, politics, languages""",None,"""Recently, science, languages caught my attention. Have you noticed that too?""","""Would you like some tips?""",helpful,0.51,No
